usuario,pelicula1,pelicula2,pelicula3,pelicula4,pelicula5,pelicula6
User130,3,5,4,2,5,2
User131,1,3,3,4,2,5
User132,3,4,2,3,1,3
User133,4,1,5,3,5,3
User134,3,3,4,3,2,5
User135,1,1,5,4,2,4
User136,1,2,5,4,4,1
User137,1,4,2,4,3,4
User138,4,1,2,2,1,1
User139,3,3,4,4,5,4
User140,4,4,5,3,1,5
User141,3,2,2,1,1,5
User142,2,5,4,4,5,5
User143,1,2,4,3,1,3
User144,3,4,3,5,4,2
User145,1,2,4,4,1,5
User146,2,2,1,2,4,2
User147,2,3,1,1,3,5
User148,1,1,1,3,4,2
User149,4,1,2,5,1,1
User150,3,4,1,3,2,5
User151,1,2,3,2,4,3
User152,2,2,1,3,5,4
User153,1,2,1,2,4,5
User154,4,5,3,1,5,2
User155,5,3,4,5,3,2
User156,4,1,2,5,5,3
User157,1,2,1,1,4,5
User158,4,1,4,2,3,1
User159,3,3,5,2,4,2
User160,3,5,3,3,5,2
User161,3,2,3,1,5,5
User162,4,2,5,2,4,3
User163,3,3,5,3,1,3
User164,2,2,1,1,4,5
User165,1,4,3,3,4,3
User166,3,5,2,1,5,3
User167,1,4,2,5,4,3
User168,4,1,1,3,3,2
User169,4,2,1,2,4,2
User170,3,2,2,3,1,4
User171,4,1,5,1,2,1
User172,3,3,1,3,3,5
User173,3,2,1,3,5,5
User174,3,4,1,4,5,3
User175,5,3,5,1,2,2
User176,4,3,3,2,3,1
User177,3,4,1,1,3,3
User178,3,1,5,4,2,5
User179,3,1,5,2,1,1
User180,1,1,5,3,2,3
User181,1,5,1,2,2,5
User182,1,1,1,4,4,2
User183,1,3,5,4,1,1
User184,1,4,1,1,1,1
User185,4,3,1,5,5,4
User186,3,5,5,4,3,3
User187,1,1,5,3,5,4
User188,4,1,5,2,1,4
User189,1,2,3,4,4,5
User190,4,2,5,3,3,3
User191,2,5,5,2,4,3
User192,4,4,5,4,3,1
User193,1,3,2,1,4,1
User194,4,3,3,3,3,2
User195,5,1,4,5,2,4
User196,5,4,1,1,4,3
User197,3,3,4,4,5,5
User198,4,5,2,2,4,1
User199,5,4,3,2,2,5
User200,4,5,4,2,1,4
User201,1,2,1,5,5,3
User202,2,1,1,3,3,4
User203,3,5,3,4,4,2
User204,4,5,3,4,3,5
User205,4,2,4,4,3,2
User206,3,4,5,4,4,2
User207,1,2,1,2,4,1
User208,5,2,1,5,5,3
User209,3,1,2,2,4,2
User210,1,3,5,2,5,5
User211,4,5,4,1,5,4
User212,4,2,5,1,4,2
User213,5,3,4,5,1,5
User214,5,1,4,5,2,2
User215,2,1,4,4,5,2
User216,2,5,1,2,4,4
User217,5,4,2,2,5,3
User218,1,4,3,2,3,2
User219,5,1,1,4,4,3
User220,5,1,1,5,5,4
User221,2,5,5,3,2,5
User222,4,5,2,4,2,3
User223,4,5,5,2,2,4
User224,2,1,4,1,4,3
User225,3,4,1,1,2,4
User226,1,1,1,4,4,2
User227,1,3,5,5,5,2
User228,2,3,3,1,1,2
User229,3,2,1,2,4,4
User230,4,3,2,5,2,5
User231,1,5,1,5,2,4
User232,4,2,5,3,5,1
User233,5,4,4,5,5,5
User234,4,3,3,5,2,4
User235,1,1,5,1,3,2
User236,1,5,2,3,2,4
User237,3,2,3,5,1,1
User238,3,5,3,1,4,3
User239,5,3,5,4,5,5
User240,4,2,5,1,5,5
User241,3,4,3,4,2,4
User242,4,1,1,1,3,2
User243,2,2,5,2,4,1
User244,1,3,1,4,5,4
User245,2,4,1,1,2,4
User246,2,4,2,4,3,1
User247,3,4,4,5,1,2
User248,2,5,1,4,4,5
User249,5,4,4,4,3,3
User250,4,4,3,2,1,2
User251,1,1,2,2,3,5
User252,5,1,1,4,1,4
User253,5,4,3,3,5,3
User254,4,5,3,4,1,5
User255,4,2,1,4,2,4
User256,3,4,2,2,1,2
User257,5,3,2,1,3,4
User258,1,1,5,1,4,2
User259,1,2,4,1,1,2
User260,5,3,4,1,5,2
User261,2,2,1,4,5,3
User262,5,3,1,1,2,4
User263,2,4,2,1,5,5
User264,2,1,3,3,3,2
User265,3,3,2,3,1,1
User266,5,5,4,5,1,3
User267,3,4,2,3,1,2
User268,5,2,2,1,2,2
User269,1,2,5,5,3,4
User270,5,4,1,4,5,2
User271,2,1,2,1,1,2
User272,2,1,5,2,4,4
User273,1,1,4,2,3,3
User274,4,3,1,2,2,4
User275,5,3,4,5,3,2
User276,4,1,2,3,3,1
User277,1,4,2,2,5,1
User278,3,2,3,4,2,5
User279,4,3,5,4,2,5
User280,1,5,1,5,4,5
User281,3,3,2,2,2,2
User282,4,1,3,5,4,1
User283,2,1,5,3,2,4
User284,5,3,1,5,4,4
User285,1,4,1,3,2,1
User286,3,3,5,3,1,2
User287,1,3,1,5,4,1
User288,1,5,4,4,4,2
User289,3,2,1,2,4,2
User290,2,3,2,5,3,2
User291,3,1,4,3,4,3
User292,2,5,4,3,5,1
User293,2,5,4,2,3,2
User294,3,2,5,1,5,1
User295,5,5,2,1,1,3
User296,2,2,4,3,1,5
User297,1,1,5,2,1,5
User298,4,3,4,5,1,4
User299,1,5,2,1,3,1
User300,2,4,1,4,1,1
User301,2,5,4,5,2,3
User302,2,4,2,5,5,3
User303,3,2,4,4,1,4
User304,1,3,3,4,2,3
User305,5,1,1,3,2,5
User306,3,4,2,5,3,3
User307,2,1,3,4,3,3
User308,1,1,3,2,2,5
User309,4,2,3,4,2,4
User310,1,1,2,4,3,5
User311,4,5,1,5,3,4
User312,2,5,5,3,5,2
User313,1,2,5,1,3,4
User314,5,4,3,4,3,5
User315,4,4,3,4,4,5
User316,4,3,5,3,2,4
User317,4,3,5,2,5,1
User318,1,4,5,5,3,3
User319,1,2,5,1,4,2
User320,5,5,5,5,2,2
User321,2,2,5,2,5,5
User322,5,3,2,4,4,1
User323,5,1,5,4,1,3
User324,4,1,5,1,5,5
User325,2,3,2,4,3,3
User326,3,1,2,3,5,5
User327,4,5,4,5,4,2
User328,3,3,1,5,4,1
User329,3,1,3,5,1,3
User330,4,3,2,5,3,4
User331,2,5,4,5,4,2
User332,2,5,4,1,1,1
User333,5,4,2,5,4,1
User334,4,4,1,1,2,5
User335,4,2,1,2,4,2
User336,1,3,3,5,1,5
User337,2,1,3,1,4,1
User338,5,3,5,2,5,5
User339,3,3,1,4,1,1
User340,2,1,1,4,3,3
User341,2,5,3,2,4,4
User342,5,5,4,2,5,5
User343,1,3,4,4,3,4
User344,3,2,1,3,3,5
User345,4,4,4,2,5,3
User346,1,3,2,3,4,5
User347,5,5,1,4,5,5
User348,4,5,2,2,3,1
User349,3,3,2,5,3,1
User350,3,1,2,2,3,5
User351,3,2,1,3,1,4
User352,5,3,2,5,3,1
User353,1,2,2,2,4,1
User354,5,5,4,1,1,3
User355,5,5,2,5,5,1
User356,1,2,2,2,4,3
User357,1,1,5,5,3,4
User358,2,2,5,1,4,1
User359,3,2,4,2,3,1
User360,2,1,5,4,5,3
User361,2,2,1,1,5,3
User362,5,2,3,3,3,3
User363,4,5,3,5,3,1
User364,1,5,5,3,4,3
User365,5,5,1,5,1,3
User366,5,5,3,1,5,2
User367,1,1,3,1,2,3
User368,3,5,5,5,5,5
User369,4,2,5,2,4,5
User370,1,4,3,5,2,4
User371,1,3,2,4,1,5
User372,1,1,4,1,4,3
User373,2,3,4,2,2,3
User374,2,5,5,5,4,5
User375,5,2,5,1,3,5
User376,2,1,5,5,1,3
User377,4,5,1,3,1,4
User378,1,3,1,2,4,3
User379,1,5,2,1,2,1
User380,5,5,2,1,1,2
User381,3,2,4,4,5,2
User382,5,2,5,2,4,5
User383,5,3,2,4,5,1
User384,5,4,5,4,1,1
User385,1,1,2,1,5,5
User386,3,5,3,5,5,5
User387,1,5,3,5,4,2
User388,4,1,1,3,4,3
User389,1,4,1,4,5,1
User390,3,5,4,2,3,2
User391,1,1,4,5,3,2
User392,3,2,3,3,1,3
User393,2,3,4,1,3,1
User394,2,5,2,5,5,5
User395,3,2,3,3,1,1
User396,1,5,1,4,3,3
User397,1,5,1,3,2,3
User398,4,3,3,3,2,4
User399,1,2,5,2,1,3
User400,3,1,3,4,1,1
User401,3,1,1,3,2,2
User402,4,1,3,4,2,5
User403,4,5,3,3,5,2
User404,2,1,5,1,3,2
User405,5,2,1,1,1,3
User406,2,1,4,5,4,2
User407,5,1,1,5,3,4
User408,3,1,4,2,1,4
User409,1,4,1,3,1,1
User410,5,3,5,4,4,2
User411,4,1,5,2,5,2
User412,3,5,2,3,2,5
User413,5,1,4,2,1,3
User414,3,3,1,3,4,4
User415,4,5,3,2,2,4
User416,3,3,5,2,5,5
User417,3,1,1,4,3,4
User418,2,3,4,5,5,3
User419,2,1,5,1,5,5
User420,2,1,5,2,3,3
User421,3,5,1,4,4,2
User422,2,5,3,2,3,1
User423,4,3,5,1,2,5
User424,3,2,2,5,2,1
User425,2,1,2,2,5,1
User426,3,2,1,5,3,2
User427,3,2,1,4,5,2
User428,3,4,1,1,3,4
User429,2,4,2,1,2,2
User430,1,5,3,1,5,1
User431,2,5,2,2,3,5
User432,3,5,2,1,4,3
User433,1,5,1,4,5,2
User434,2,3,1,1,3,3
User435,5,3,4,1,4,4
User436,4,4,4,4,5,4
User437,2,5,5,4,5,2
User438,4,1,2,4,3,4
User439,4,2,2,5,2,3
User440,5,3,3,2,1,3
User441,1,4,3,1,5,5
User442,5,5,2,3,1,5
User443,4,5,5,2,1,1
User444,3,3,5,4,1,1
User445,1,2,4,2,5,2
User446,3,5,3,4,5,3
User447,5,4,5,3,5,3
User448,1,3,1,5,2,5
User449,5,4,1,1,4,5
User450,4,5,1,5,3,3
User451,1,3,3,2,2,2
User452,5,5,5,2,4,1
User453,2,1,5,5,4,4
User454,5,4,1,5,5,3
User455,4,4,2,2,3,3
User456,4,2,1,5,5,2
User457,1,3,2,1,5,2
User458,5,3,1,2,3,3
User459,1,1,2,5,2,2
User460,4,3,4,5,2,5
User461,1,3,1,3,5,2
User462,2,2,5,2,4,4
User463,2,3,4,3,1,4
User464,2,2,4,5,1,1
User465,1,3,3,4,2,2
User466,5,5,5,5,5,5
User467,4,4,4,4,3,5
User468,5,5,4,1,4,3
User469,5,5,5,4,4,5
User470,5,4,1,3,4,3
User471,5,5,3,3,5,1
User472,1,3,4,3,5,5
User473,1,5,3,5,3,5
User474,3,1,4,5,1,4
User475,2,3,3,5,3,5
User476,5,2,4,1,5,1
User477,2,2,1,5,2,3
User478,3,2,4,4,2,3
User479,1,3,4,2,4,5
User480,4,1,4,1,5,1
User481,1,5,1,3,5,3
User482,4,5,3,4,2,3
User483,3,2,2,1,5,5
User484,5,3,2,1,1,3
User485,4,3,1,5,5,5
User486,5,4,3,4,2,5
User487,4,4,2,3,1,2
User488,4,5,3,4,1,3
User489,4,3,4,3,5,2
User490,5,2,3,5,1,3
User491,1,5,5,4,5,3
User492,1,4,3,3,2,5
User493,5,1,1,5,2,2
User494,2,5,2,2,1,5
User495,5,4,1,4,1,1
User496,4,1,2,1,3,5
User497,3,4,3,5,1,1
User498,3,5,1,2,1,2
User499,2,4,1,4,4,3
User500,1,4,3,3,2,5
User501,3,2,2,5,1,5
User502,3,1,2,5,5,2
User503,5,4,4,2,3,5
User504,3,2,5,4,2,2
User505,2,4,2,5,4,3
User506,4,3,3,1,2,1
User507,2,2,3,4,5,3
User508,4,4,1,2,5,4
User509,4,4,3,4,5,1
User510,4,1,3,2,5,2
User511,3,2,4,4,4,2
User512,5,1,3,5,1,1
User513,1,4,3,5,1,4
User514,5,3,1,3,5,2
User515,4,1,3,1,2,2
User516,1,2,5,5,4,3
User517,1,1,1,5,1,1
User518,4,2,1,3,3,4
User519,4,5,1,5,3,5
User520,5,5,4,4,2,2
User521,4,3,3,1,1,5
User522,5,4,3,2,1,1
User523,5,5,4,1,3,3
User524,4,5,1,1,4,3
User525,3,3,1,5,3,5
User526,2,4,2,1,5,1
User527,5,2,4,1,4,5
User528,2,2,2,5,5,4
User529,5,1,5,4,4,1
User530,4,2,2,5,4,4
User531,2,5,4,1,3,2
User532,3,4,5,1,4,5
User533,3,4,2,5,5,5
User534,5,2,2,2,3,3
User535,2,2,3,3,2,1
User536,5,5,3,2,1,5
User537,1,4,3,5,5,5
User538,4,3,2,3,1,3
User539,1,2,1,1,5,2
User540,1,5,3,2,4,3
User541,1,1,1,4,1,1
User542,2,4,2,3,3,1
User543,4,5,5,4,1,2
User544,3,5,5,4,3,4
User545,4,2,1,1,3,2
User546,3,2,3,5,5,2
User547,4,1,3,1,2,3
User548,1,1,5,1,3,1
User549,5,2,3,5,2,3
User550,5,2,3,4,5,3
User551,4,1,1,2,2,3
User552,4,5,2,5,2,5
User553,4,4,5,2,1,5
User554,5,1,1,5,1,1
User555,3,2,1,2,2,3
User556,5,2,1,1,5,5
User557,4,2,2,2,2,4
User558,1,4,4,1,3,1
User559,5,5,2,4,3,2
User560,1,2,5,4,3,3
User561,3,5,4,4,5,1
User562,5,3,5,3,4,4
User563,3,4,5,2,2,3
User564,5,2,2,3,3,4
User565,1,3,2,5,2,5
User566,5,3,4,4,3,2
User567,2,3,2,5,4,2
User568,4,2,4,4,5,5
User569,2,2,2,2,3,4
User570,4,4,2,3,5,5
User571,4,4,4,1,1,5
User572,3,1,2,2,4,3
User573,5,2,3,4,3,1
User574,5,2,5,1,1,1
User575,3,5,2,4,3,5
User576,4,2,2,3,2,2
User577,4,1,2,2,2,3
User578,3,2,5,3,1,2
User579,1,5,5,5,5,3
User580,5,4,3,3,2,3
User581,4,1,5,4,3,5
User582,3,2,5,2,5,2
User583,1,4,1,1,5,3
User584,5,4,1,4,3,4
User585,5,4,1,4,2,3
User586,2,1,2,3,5,2
User587,4,4,5,1,4,4
User588,4,2,2,3,3,1
User589,5,2,3,4,3,2
User590,3,1,1,4,4,5
User591,2,5,2,2,2,1
User592,4,5,5,1,1,4
User593,4,3,4,4,3,2
User594,3,4,1,1,3,1
User595,1,2,2,3,4,5
User596,1,4,5,4,1,3
User597,2,4,1,1,4,3
User598,4,3,2,2,3,1
User599,1,2,1,1,2,3
User600,5,1,1,3,1,1
User601,1,3,2,1,5,3
User602,1,5,1,5,5,3
User603,1,3,4,3,3,5
User604,5,4,5,1,3,1
User605,5,1,5,2,1,3
User606,5,1,3,3,5,3
User607,4,2,2,5,3,5
User608,2,3,3,5,1,3
User609,4,5,5,5,3,1
User610,2,3,4,1,4,4
User611,5,5,5,2,2,5
User612,3,2,4,2,5,1
User613,4,3,4,3,3,1
User614,1,5,5,1,4,3
User615,1,3,3,5,2,4
User616,2,5,4,1,2,3
User617,2,2,4,2,4,1
User618,5,1,2,2,2,4
User619,2,3,4,4,1,3
User620,5,4,3,1,2,3
User621,2,4,1,2,1,5
User622,2,4,2,4,3,2
User623,4,3,5,5,2,5
User624,3,5,2,1,3,3
User625,2,3,1,2,2,5
User626,5,4,2,3,3,3
User627,2,4,4,2,3,4
User628,1,5,5,1,2,1
User629,5,5,3,2,4,3
User630,1,5,2,1,5,4
User631,5,1,2,1,3,1
User632,1,5,3,4,2,4
User633,1,3,5,5,5,3
User634,5,3,1,4,5,1
User635,1,1,5,1,3,2
User636,4,2,5,3,2,1
User637,4,4,4,5,5,5
User638,3,3,2,1,1,4
User639,1,2,2,1,1,2
User640,2,2,4,1,2,4
User641,3,2,2,2,5,2
User642,5,1,5,1,5,5
User643,3,3,3,4,1,4
User644,5,5,4,4,5,2
User645,3,2,1,3,5,2
User646,4,3,3,3,1,2
User647,5,3,4,4,5,2
User648,5,4,3,5,5,4
User649,5,1,1,2,2,5
User650,5,1,5,5,1,2
User651,4,2,5,5,1,3
User652,5,2,3,2,5,4
User653,2,1,2,4,1,2
User654,2,5,1,1,4,5
User655,5,4,3,1,1,4
User656,5,1,3,5,1,4
User657,2,4,4,3,1,2
User658,1,1,1,4,2,4
User659,3,2,4,5,2,2
User660,3,1,5,2,5,5
User661,5,2,3,4,1,4
User662,3,4,2,1,3,2
User663,2,4,1,2,3,2
User664,5,5,1,1,5,3
User665,2,1,5,2,3,3
User666,2,5,4,5,5,3
User667,2,5,2,5,3,3
User668,4,2,1,2,2,1
User669,1,2,2,1,4,3
User670,3,2,3,5,2,3
User671,5,5,5,2,2,1
User672,3,4,2,3,4,4
User673,2,4,2,4,1,5
User674,3,4,5,3,5,1
User675,3,4,1,4,1,3
User676,3,3,4,2,1,5
User677,4,2,3,1,4,1
User678,4,5,1,4,3,5
User679,5,3,4,5,1,3
User680,5,5,5,3,1,3
User681,5,4,1,2,4,5
User682,3,3,5,2,2,4
User683,5,2,5,2,5,4
User684,1,5,3,4,5,5
User685,5,2,4,5,5,5
User686,1,3,4,5,3,4
User687,1,3,2,2,3,3
User688,4,3,3,2,5,4
User689,1,2,3,3,5,2
User690,2,3,4,2,3,1
User691,1,2,5,1,4,3
User692,3,5,3,2,4,4
User693,3,1,3,1,4,3
User694,3,5,3,4,5,5
User695,3,5,2,1,1,4
User696,2,2,4,2,5,3
User697,3,4,1,2,4,5
User698,5,4,4,3,5,2
User699,1,3,2,3,3,1
User700,3,4,2,2,4,4
User701,2,1,2,3,2,2
User702,5,1,1,2,1,3
User703,5,3,3,4,2,3
User704,4,5,2,1,4,1
User705,4,5,3,3,3,5
User706,3,1,1,3,2,2
User707,1,4,2,5,4,5
User708,2,4,1,3,2,5
User709,1,3,5,2,3,5
User710,3,1,4,2,1,3
User711,5,2,2,5,4,3
User712,4,4,3,3,3,5
User713,2,2,4,2,5,2
User714,4,2,5,1,2,1
User715,5,3,5,4,5,5
User716,5,2,2,4,3,2
User717,3,1,5,1,2,5
User718,2,4,1,1,2,2
User719,4,5,3,2,5,2
User720,1,3,2,2,2,2
User721,2,4,4,3,3,1
User722,4,4,3,2,4,2
User723,3,2,2,1,1,5
User724,1,5,3,3,5,5
User725,5,5,5,5,2,5
User726,2,1,3,5,3,1
User727,3,4,3,2,5,3
User728,1,5,3,1,2,2
User729,5,5,1,4,3,3
User730,4,5,1,1,3,3
User731,4,1,5,5,5,3
User732,1,4,4,1,4,3
User733,4,5,4,5,2,1
User734,1,3,3,4,4,3
User735,1,5,3,4,3,4
User736,4,4,5,1,4,1
User737,4,2,3,1,1,1
User738,2,4,5,1,1,2
User739,5,2,1,1,1,2
User740,2,4,4,5,3,2
User741,1,5,1,3,3,2
User742,4,3,4,4,4,2
User743,4,3,2,3,2,5
User744,3,4,4,1,1,1
User745,3,4,5,1,4,2
User746,1,3,1,2,1,5
User747,5,3,3,4,3,2
User748,5,3,2,2,3,3
User749,5,4,3,5,5,1
User750,2,2,2,2,5,3
User751,1,3,5,4,4,2
User752,2,5,2,2,1,1
User753,3,2,4,4,5,3
User754,1,3,4,1,5,5
User755,3,2,4,4,4,3
User756,2,4,3,1,1,2
User757,3,4,2,3,1,1
User758,3,1,5,3,2,5
User759,3,2,5,3,5,3
User760,5,4,3,1,2,1
User761,5,2,2,1,3,4
User762,1,3,4,5,4,3
User763,4,1,2,1,2,1
User764,3,1,4,5,4,3
User765,5,5,5,5,1,1
User766,3,4,2,1,2,2
User767,3,5,5,1,5,3
User768,2,4,1,3,5,1
User769,1,3,2,1,4,3
User770,4,5,4,4,3,5
User771,3,3,3,1,4,2
User772,4,2,1,1,5,5
User773,4,1,5,3,3,4
User774,5,4,5,5,3,2
User775,5,1,3,2,4,3
User776,3,1,5,2,3,5
User777,4,5,5,4,2,2
User778,1,2,4,3,1,1
User779,1,1,1,2,4,1
User780,4,4,2,5,4,2
User781,2,4,2,4,5,3
User782,5,3,1,3,1,3
User783,2,3,3,5,3,2
User784,1,4,2,4,5,1
User785,1,2,5,5,1,2
User786,2,2,1,1,2,3
User787,2,5,2,5,2,1
User788,4,3,1,2,1,5
User789,5,5,4,3,1,4
User790,3,4,3,2,4,3
User791,2,1,2,3,1,4
User792,5,3,3,3,1,3
User793,4,2,2,3,1,4
User794,5,1,4,1,5,4
User795,1,1,2,2,1,2
User796,4,1,3,2,2,1
User797,3,4,5,5,2,1
User798,2,2,4,2,1,4
User799,3,4,4,5,5,1
User800,5,5,4,4,2,1
User801,5,1,4,4,5,3
User802,1,1,3,4,2,5
User803,3,3,3,5,1,3
User804,1,1,1,2,3,4
User805,4,1,5,1,3,3
User806,5,5,2,4,4,4
User807,3,4,2,2,4,2
User808,5,4,1,4,4,5
User809,2,1,4,3,5,1
User810,1,2,2,4,2,4
User811,3,5,4,1,2,5
User812,1,4,1,3,5,4
User813,2,3,2,5,3,5
User814,5,3,3,5,2,1
User815,4,4,1,1,2,5
User816,1,2,3,1,1,3
User817,4,1,3,5,5,2
User818,4,5,2,5,4,2
User819,5,5,1,5,3,1
User820,4,1,5,3,2,5
User821,3,4,1,1,3,5
User822,2,4,5,5,2,2
User823,1,2,4,2,5,2
User824,2,4,1,4,5,4
User825,2,2,2,4,5,3
User826,2,1,3,1,1,2
User827,3,3,2,2,2,4
User828,1,5,5,2,2,4
User829,2,5,5,4,2,4
User830,3,1,5,4,4,5
User831,2,5,3,4,5,5
User832,5,5,4,3,3,5
User833,2,5,3,2,1,1
User834,1,5,3,1,2,5
User835,1,3,1,3,4,1
User836,5,5,1,4,3,5
User837,2,4,4,3,4,3
User838,5,4,1,5,1,1
User839,4,1,5,5,1,5
User840,1,2,2,3,2,5
User841,3,4,4,2,2,2
User842,1,5,2,3,2,2
User843,3,5,3,3,1,1
User844,2,5,2,2,2,2
User845,4,4,4,4,1,4
User846,5,1,5,5,2,1
User847,5,1,3,5,3,2
User848,1,3,5,2,5,2
User849,3,5,1,3,3,3
User850,1,5,1,2,5,1
User851,2,4,1,3,1,5
User852,3,1,4,5,1,4
User853,5,1,1,5,5,2
User854,1,2,3,3,3,2
User855,1,3,1,4,3,5
User856,2,5,4,1,3,3
User857,2,1,3,4,3,5
User858,3,3,1,2,3,5
User859,4,1,3,4,4,5
User860,2,5,1,2,1,5
User861,2,3,2,2,4,5
User862,4,2,4,5,1,4
User863,3,5,2,4,2,5
User864,2,5,5,5,3,3
User865,2,1,3,4,1,3
User866,5,5,1,5,3,5
User867,5,1,5,1,5,3
User868,3,5,3,3,5,2
User869,2,3,4,2,5,3
User870,4,4,1,5,4,2
User871,4,3,1,3,4,4
User872,3,5,5,1,1,4
User873,4,1,5,4,2,1
User874,4,1,4,5,2,3
User875,3,1,5,4,2,4
User876,2,2,4,4,3,4
User877,2,5,1,3,4,3
User878,1,1,2,2,5,1
User879,1,4,1,4,1,3
User880,3,3,1,5,3,1
User881,3,5,2,2,5,2
User882,5,4,4,1,5,1
User883,5,3,5,4,1,1
User884,4,4,2,3,1,2
User885,1,5,3,5,5,1
User886,3,4,2,5,3,3
User887,4,2,2,4,3,2
User888,1,5,5,1,3,2
User889,1,5,5,3,1,3
User890,1,3,1,5,5,2
User891,5,3,1,1,1,3
User892,5,5,5,2,2,4
User893,4,5,1,4,3,3
User894,2,1,3,1,5,5
User895,4,5,2,4,3,3
User896,2,1,4,4,5,2
User897,4,5,4,3,2,1
User898,5,3,2,2,3,4
User899,3,3,4,1,5,1
User900,1,1,2,1,1,2
User901,5,1,4,2,4,2
User902,4,2,4,1,5,4
User903,3,2,1,2,3,3
User904,5,2,3,3,3,1
User905,1,5,5,1,4,2
User906,5,4,4,3,4,1
User907,3,3,4,4,3,4
User908,1,2,4,4,2,3
User909,2,1,5,2,4,1
User910,1,5,5,5,1,4
User911,3,5,4,3,2,2
User912,5,2,4,4,3,5
User913,1,3,1,5,4,2
User914,5,2,1,2,5,1
User915,3,3,5,5,1,5
User916,3,4,4,3,3,2
User917,5,5,1,1,4,5
User918,5,2,2,4,3,5
User919,1,2,5,5,5,3
User920,4,2,2,1,1,4
User921,1,2,1,2,1,2
User922,1,5,3,1,2,4
User923,2,1,3,1,2,1
User924,1,3,2,3,4,4
User925,2,1,2,4,5,2
User926,3,1,5,2,5,5
User927,3,5,5,4,2,2
User928,4,2,4,2,5,4
